id,roomId,allowsVisibility,allowsSmell,allowsAccess,allowsSound
308,77,0,0,1,0
309,78,1,0,1,0
310,78,1,0,1,0
311,78,1,0,1,0
312,78,1,0,1,0
313,79,0,0,1,0
314,79,0,0,0,0
315,79,0,0,0,0
316,79,0,0,1,0
317,80,0,0,1,0
318,80,0,0,0,0
319,80,0,0,1,0
320,80,0,0,0,0
321,81,1,0,1,0
322,81,1,0,0,0
323,81,1,0,1,0
324,81,1,0,0,0
325,82,1,0,1,0
326,82,1,0,1,0
327,82,0,0,0,0
328,82,1,0,0,0
329,83,1,0,1,0
330,83,0,0,1,0
331,83,0,0,1,0
332,83,1,0,1,0
333,84,1,0,1,0
334,84,0,0,0,0
335,84,1,0,1,0
336,84,0,0,0,0
337,85,0,0,1,0
338,85,0,0,0,0
339,85,0,0,0,0
340,85,0,0,0,0
341,86,0,0,1,0
342,86,0,0,1,0
343,86,0,0,0,0
344,86,0,0,0,0
345,87,0,0,0,0
346,87,0,0,1,0
347,87,0,0,1,0
348,87,0,0,1,0
349,88,1,0,1,0
350,88,1,0,1,0
351,88,1,0,0,0
352,88,1,0,1,0
353,89,0,0,1,0
354,89,0,0,0,0
355,89,0,0,0,0
356,89,0,0,0,0
357,90,1,0,1,0
358,90,0,0,0,0
359,90,1,0,1,0
360,90,1,0,0,0
361,91,1,0,1,0
362,91,1,0,1,0
363,91,0,0,0,0
364,91,1,0,1,0
365,92,1,0,0,0
366,92,1,0,1,0
367,92,0,0,0,0
368,92,1,0,1,0
369,93,1,0,1,0
370,93,1,0,1,0
371,93,0,0,0,0
372,93,1,0,1,0
373,94,1,0,1,0
374,94,1,0,1,0
375,94,0,0,0,0
376,94,1,0,1,0
377,95,1,0,0,0
378,95,1,0,1,0
379,95,0,0,0,0
380,95,1,0,1,0
381,96,1,0,0,0
382,96,1,0,1,0
383,96,0,0,0,0
384,96,1,0,1,0
385,97,1,0,1,0
386,97,1,0,1,0
387,97,0,0,0,0
388,97,1,0,1,0
389,98,1,0,0,0
390,98,1,0,1,0
391,98,0,0,0,0
392,98,1,0,1,0
393,99,1,0,0,0
394,99,1,0,1,0
395,99,0,0,0,0
396,99,1,0,1,0
397,100,1,0,1,0
398,100,0,0,0,0
399,100,0,0,0,0
400,100,1,0,1,0
